a	det. 一
follower	n. 追随者，信徒，随从
following	adj. 下列的，其次的
folly	n. 蠢事，愚笨
foment	v. 热敷，挑起
fond	adj. 喜爱..的，慈爱的，喜爱的
fondle	v. 爱抚，娇养
food	n. 食物，食粮，养料
foodstuff	n. 食品
fool	n. 蠢人，傻瓜，弄臣\nv. 愚弄，玩弄
foolish	n. 愚蠢的，笨的\nadj. 发窘的，荒谬的
foolproof	adj. 连傻子都可以用的
foot	n. 脚，英尺，最下部\nv. 步行，结算
football	n. 足球
foothill	n. 山麓丘陵，山麓小丘
foothold	n. 立脚处
footing	n. 立足点，立场
footlights	n. 脚灯，舞台生涯
footnote	n. 补充说明，脚注
footpath	n. 人行小径
footprint	n. 脚印，轮迹
footstep	n. 足迹，脚步声，脚步，踏步
fop	n. 纨绔子弟\nv. 欺骗
for	prep. 给，作...用的，为，为了
forage	n. 草料，袭击\nv. 搜得，搜寻
foray	n. 初步尝试，突袭\nv. 进行突袭
forbear	v. 克制，忍受
forbid	v. 禁止，不许，阻止
forbidden	adj. 禁止的
force	n. 力，力量，武力\nv. 强迫，逼叫
forceful	adj. 强有力的
forceps	n. 镊子，尾铗
forcible	adj. 强迫的，强有力的
ford	n. 可涉水而过之处\nv. 涉过，涉水而过
fore	n. 船头，前部\nadj. 前面的adv.在前面，先时的，在前部的\nadv. 先前，在前部\nprep. 在...面前，在...以前
forearm	n. 前臂\nv. 预先武装
forebode	v. 预感，预示
forecast	n. 预见，预示\nv. 预测，预报，预示
forefather	n. 祖先，先辈
forefinger	n. 食指
forefront	n. 最前线
foregoing	adj. 先行的，上述的
foregone	adj. 已往的
foreground	n. 前景
forehand	n. 前位，右场\nadj. 在前的，正手的\nadv. 以正手
forehead	n. 前额
foreign	adj. 外国的，对外的
foreigner	n. 外国人，异乡人，外地人，外国船
foreman	n. 领班，工头
foremost	adj. 最初的，第一流的，首要的，最前的\nadv. 在最前，最重要地
forenoon	n. 午前
forensic	n. 辩论练习，辩论学\nadj. 辩论的，法庭的
forerunner	n. 前驱，前兆
foresee	v. 预见，预知
foreshadow	v. 预示
foreshore	n. 前滨，水边土地
foresight	n. 预见，展望
forest	n. 森林，林区，一丛
forestall	v. 垄断，预先阻止
forester	n. 林务员，林业学者
forestry	n. 林业
foretell	v. 预告，预言
forever	adv. 永远，总是，老是
forewarn	v. 预先警告
foreword	n. 前言
forfeit	n. 罚物游戏，丧失\nv. 丧失\nadj. 丧失了的
forgather	v. 交往，聚会
forge	n. 锻铁炉，锻造车间\nv. 打铁，锻造，伪造，打
forgery	n. 锻炉，锻造厂，伪造，虚构
forget	v. 忘记，疏忽，没想到，忘，健忘
forgetful	adj. 不经心的，健忘的
forgive	v. 饶恕，原谅，豁免，容许
forgo	v. 忽视，经过，抛弃
fork	n. 餐叉，岔口，叉，叉状物\nv. 叉起，同时攻
forlorn	adj. 被遗弃的，荒凉的
form	n. 形状，类型，表格，模型，形体\nv. 构成，形成
formal	n. 礼服，甲缩醛\nadj. 形式上的，正式的，克式量的
formality	n. 礼节，正式，拘谨
format	n. 格式，样式，版式\nv. 为...安排版式
formation	n. 形成，构成，形成物
former	adj. 以前的，前者，前任的
formerly	adv. 从前，以前
formidable	adj. 可怕的，难对付的
formula	n. 公式，表白书，惯例
formulate	v. 系统阐述，规划，使公式化
formulation	n. 确切表述
fornicate	v. 私通\nadj. 拱形的
forsake	v. 遗弃，抛弃，离开，屏弃
forswear	v. 对...发伪誓，发伪誓
fort	n. 堡垒，要塞
forte	n. 擅长
forth	adv. 向前，向外，往外
forthcoming	adj. 即将到来的
forthright	n. 直路\nadj. 直率的\nadv. 立即，直率地
forthwith	adv. 立即
fortieth	n. 第四十
fortify	v. 增强
fortitude	n. 坚毅，坚固，坚忍
fortnight	n. 两星期，十四天
fortran	n. 公式翻译程序语言
fortress	n. 堡垒，城堡，避难所，要塞\nv. 在...设置要塞
fortuitous	adj. 偶然的，幸运的
fortuity	n. 偶然事件
fortunate	adj. 幸运的，侥幸的
fortunately	adv. 幸运地，幸而
fortune	n. 运气，财富，富有，好运
forty	n. 第四十，四十\nnum. 四十
forum	n. 讨论会，座谈会，法庭，论坛
forward	n. 前锋\nv. 促进，发送\nadj. 向前的，热心的，早的\nadv. 向前，提前地
fossil	n. 化石，守旧者
foster	v. 养育，抚养，抱有，培养\nadj. 收养的
foul	n. 犯规，碰撞\nv. 弄脏，玷污\nadj. 肮脏的，邪恶的，腐烂的，难闻的\nadv. 犯规地
found	v. 创办，使有根据
foundation	n. 建立，基金，基础，底座，地基
founder	n. 创办人，奠基人，奠基者，铸\nv. 破坏，沉没
foundry	n. 铸件，铸造
fountain	n. 泉，源泉，喷泉，源
four	n. 四，匍匐\nnum. 四
fourteen	n. 十四\nnum. 十四
fourteenth	n. 第十四，第十四日
fourth	num. 第四，四分之一
fowl	n. 家禽，鸡，禽肉，鸟
fox	n. 狐狸，狡猾的人，狐，狐皮\nv. 欺骗，变酸
foxhound	n. 猎狐犬
foyer	n. 门厅
fraction	n. 片断，分数，分割，些微
fractional	adj. 零碎的，不足的，部分的，辅币的
fractious	adj. 暴躁的，倔强的
fracture	n. 断裂，断口，裂缝\nv. 折断，毁坏，破裂
fragile	adj. 易碎的，脆的，脆弱的，纤巧的
fragment	n. 碎片，片断\nv. 打碎，破碎
fragrance	n. 芬芳，香气
fragrant	adj. 香的，芬芳的
frail	n. 少女，灯心草篓\nadj. 脆弱的，虚弱的，短暂的
frailty	n. 脆弱，弱点
frame	n. 框架，骨骼，车架，构架\nv. 构造，构筑，制订
framework	n. 构架，机构，结构
franc	n. 法郎
france	n. 法国，法兰西
franchise	n. 特许权，公民权，特许\nv. 给...以特许，释放
frank	n. 弗兰克，欧洲人\nadj. 坦率的，真诚的，坦白的
frankly	adv. 坦率地，非常，确实
frantic	adj. 发狂似的，极度的
fraternal	adj. 兄弟的，兄弟会的
fraternity	n. 兄弟关系，兄弟会
fraternize	v. 亲敌，亲如兄弟
fraud	n. 骗子，欺骗
fraught	n. 重载\nv. 装货于\nadj. 充满的，满载的
fray	n. 吵架，惊吓\nv. 吵架，磨擦
freak	n. 畸形，主意突变\nv. 扰乱，胡闹\nadj. 反常的
freakish	adj. 奇特的，任性的
freckle	n. 雀斑，小斑点\nv. 生雀斑
free	v. 使摆脱，使自由\nadj. 自由的，空闲的\nadv. 免费地，松开着
freedom	n. 自由，免除，直爽
freehand	adj. 不用绘图仪器画的\nadv. 不用绘图仪器地
freehold	n. 终身职位\nadj. 可终身保有的
freely	adv. 自由地，随意地，直爽地
freeway	n. 高速公路
freeze	n. 冰冻期，冻结\nv. 结冰，楞住，冻结，冷冻
freezer	n. 冷冻箱，冷藏室，制冷器
freight	n. 货运，货物，运费，船货\nv. 装货于，租
french	n. 法语，法国人\nadj. 法国的，法语的
frenchman	n. 法国人
frenetic	n. 狂乱
frenzy	n. 疯狂
frequency	n. 频繁，频率，次数
frequent	v. 常到，交往\nadj. 频繁的，经常的
frequently	adv. 时常，往往
fresco	n. 湿壁画\nv. 作湿壁画于
fresh	adj. 新鲜的，崭新的，另外的，新的
freshen	v. 使新鲜，使振作，变得新鲜
freshman	n. 新人，新生
freshwater	adj. 淡水的
fret	n. 烦燥，苦恼，品\nv. 使烦恼，侵蚀，形成
friction	n. 摩擦，摩擦力，不和
friday	n. 星期五
fridge	n. 冰箱
friend	n. 朋友，赞助者
friendly	adj. 友好的，和气的，朋友的，友善的\nadv. 友好地
friendship	n. 友谊，友好，帮助
frigate	n. 护卫舰，驱逐领舰
fright	n. 恐怖，惊吓，丑陋的人\nv. 使惊恐
frighten	v. 惊吓，吓唬，使惊恐
frightening	adj. 令人害怕的
frightful	adj. 可怕的，丑的
frigid	adj. 寒冷的，冷淡的
frigidity	n. 寒冷，性感缺失
frill	n. 壳皱，褶边\nv. 使脱膜，脱膜
fringe	n. 边缘，花边，穗子，穗\nv. 加穗于，是...的边缘
frisbee	n. 飞盘
frisk	n. 欢跃，搜身\nv. 扒窃，欢跃
fritter	n. 碎片\nv. 弄碎，消耗，浪费
frivolous	adj. 轻薄的，琐屑的
fro	adv. 回
frock	n. 女上衣，童上装，长外衣，工装\nv. 授予...圣职
frog	n. 蛙，蹄楔
frogman	n. 蛙人
frolic	n. 欢乐\nv. 嬉戏\nadj. 嬉戏的
from	prep. 自，从...来，从
front	n. 正面，前线，前面\nv. 面对，对抗，面向\nadj. 前面的，正面的
frontage	n. 临街地，正面
frontal	n. 额骨，正面\nadj. 额的，前面的
frontier	n. 边界，国境，新领域，边境，知识边缘
frost	n. 霜，霜冻，冰冻\nv. 结霜于，结霜
frostbite	n. 霜害\nv. 使遭霜害
frosty	adj. 霜的，结霜的，冷淡的
froth	n. 浮渣，泡\nv. 发泄，起泡沫
frown	n. 皱眉\nv. 皱眉头，厌恶，表示不悦，皱眉
frowzy	adj. 肮脏的，难闻的
frugal	adj. 节俭的，花钱少的，节约的
fruit	n. 果子，水果，成果，果实\nv. 使结果实，结果实
fruitful	adj. 果实累累的，多产的，结果实的
fruition	n. 实现，享用
fruitless	adj. 无结果的
fruity	adj. 水果的，有趣味的
frustrate	v. 阻挠，使灰心，挫败，受挫
frustration	n. 挫折，灰心
fry	n. 炒杂碎，鱼苗\nv. 油煎，炸，激动
frying-pan	n. 煎锅
fuck	渾蛋，辱駡
fuddle	n. 混乱，醉\nv. 使喝醉，狂饮
fudge	n. 乳脂软糖，胡说\nv. 回避，捏造
fuel	n. 燃料，食物\nv. 激起，加燃料
fugitive	n. 逃亡者\nadj. 短暂的，逃跑的
fulfil	v. 完成，满足要求，履行，实行
fulfillment	n. 完成，成就
full	adj. 满的，完全的，彻底的
fully	adv. 完全，彻底
fulminate	n. 雷酸盐，烈性炸药\nv. 引爆，暴发
fumble	n. 乱摸，失球\nv. 摸索，乱摸，犯大错
fume	n. 烟\nv. 发出，熏
fun	n. 娱乐，玩笑，乐趣，嘲笑\nadj. 古怪的
function	n. 作用，集会，函数，功能，官能\nv. 工作，行使职责
functional	adj. 功能的，官能的，职务上的
fund	n. 基金，资金，蕴藏，储备，存款\nv. 积累
fundamental	adj. 基本的，根本的
funeral	n. 葬礼
funereal	adj. 丧葬的，似葬礼的
fungus	n. 海绵肿，真菌
funicular	adj. 索的，索状的
funk	n. 恐慌，懦夫\nv. 害怕，抽
funky	adj. 惊恐的，时髦的
funnel	n. 漏斗，烟囱\nv. 使汇集，汇集
funny	n. 滑稽戏，笑话\nadj. 有趣的，好笑的，滑稽的，耍花招的
fur	n. 毛皮，裘衣，柔毛
furbish	v. 更新，磨光
furious	adj. 狂怒的，狂暴的
furl	n. 卷，一卷东西\nv. 卷起，弃绝
furlough	n. 休假，休假证\nv. 解雇，休假
furnace	n. 熔炉，火炉
furnish	v. 供应，装备，摆家具，装设备于
furniture	n. 家具(总称)，帆具，家
furrow	n. 犁沟，沟\nv. 犁，开沟
further	v. 促进\nadv. 更远，进一步，此外，更远地\nfar的比较级
furthermore	adv. 而且
furtive	adj. 偷来的
fury	n. 狂暴，狂怒
fuse	n. 保险丝，导火线，引信\nv. 熔合，熔化
fuselage	n. 机身
fusion	n. 熔化，熔块
fuss	n. 忙乱，大惊小怪的，紧张不安\nv. 使烦恼，忙乱
fussy	adj. 爱大惊小怪的，瞎忙的，易激怒的
fusty	adj. 发霉味的，守旧的
futile	adj. 不重要的，无益的
future	n. 将来，前途
futures	n. 期货
futurity	n. 将来，未来性
fuzz	n. 模糊，绒毛\nv. 变得模糊
fuzzy	adj. 模糊的，细绒毛的
gabardine	n. 华达呢
gabble	n. 废话，咯咯叫声\nv. 咯咯叫，说废话
gable	n. 山墙
gad	n. 游荡，钢钎\nv. 蔓延，游荡\nadv. 哎哟
gadget	n. 小玩意儿
gadgetry	n. 小巧机械
gaff	n. 攀钩，斜桁\nv. 欺骗，赌博
gaffe	n. 失礼
gag	n. 塞口物，石斑鱼\nv. 戏弄，窒息
gage	n. 抵押品，梅子\nv. 以...作担保
gain	n. 收益，获得，增加\nv. 获得，赢得，增加
gainful	adj. 赚钱的
gainsay	v. 反驳，否认
gait	n. 步态，速度\nv. 训练...的步法
gala	n. 节日，节日服装\nadj. 节日的
galactic	adj. 巨大的，乳液的
galaxy	n. 星系，一群，银河
gale	n. 大风，定期交付，微风
gall	n. 瘿\nv. 擦痛，咬住
gallant	n. 时髦男子\nv. 伴送，向...献殷勤\nadj. 华丽的，英勇的
gallantry	n. 华丽，勇武
gallery	n. 美术馆，狭长房间，走廊
galley	n. 厨房，大型划艇
gallivant	v. 游荡
gallon	n. 加仑
gallop	n. 飞跑，高速度\nv. 奔驰，飞跑，使飞跑
gallows	n. 绞刑，绞刑架
gallstone	n. 胆石
galore	adj. 多的
galosh	n. 木底鞋
galvanic	adj. 触电似的，电流的
galvanism	n. 电疗，伏打电学
galvanize	v. 给...通电
gambit	n. 开场白
gamble	n. 赌博，投机\nv. 赌掉，赌博
gambler	n. 赌徒
gambol	n. 跳跃\nv. 蹦跳
game	n. 游戏，比赛，猎物，运动\nv. 赌掉，赌博\nadj. 猎物的，跛的
gamut	n. 音阶，整个范围
gander	n. 蠢人，雄鹅\nv. 看，漫步
gang	n. 一群，一帮，路\nv. 聚集成群，行走
gangplank	n. 步桥，收费桥
gangrene	n. 道德败坏，坏疽\nv. 生坏疽
gangster	n. 匪徒，歹徒，大麻烟
gangway	n. 进出通路，座间通道
gantry	n. 桶架
gaol	n. 监狱\nv. 监禁
gap	n. 空隙，隔阂，山口，豁口，间隔\nv. 使成豁口，豁开
gape	n. 豁口，张口\nv. 张开，豁开
garage	n. 车库，汽车修理站，加油站，汽车间\nv. 把...送入汽车间
garb	n. 服装，式样\nv. 给...穿上服装
garbage	n. 垃圾，废话
garble	n. 断章取义，混淆\nv. 混淆
garden	n. 花园，菜园，公园\nv. 用花园点缀
gardener	n. 园丁，外场手
gardening	n. 园艺
gargoyle	n. 面貌丑恶的人
garish	adj. 俗丽的
garland	n. 花环，荣誉\nv. 给...荣誉
garlic	n. 大蒜
garment	n. 衣服，服装，外观\nv. 给...穿衣服
garner	n. 谷仓\nv. 获得，收集
garnet	n. 深红，石榴石\nadj. 深红的
garnish	n. 服装，装饰菜\nv. 装备，装饰
garret	n. 脑袋，屋顶层
garrison	n. 要塞，警备队，堡垒\nv. 镇守
garrulous	adj. 罗嗦的，饶舌的
gas	n. 气体，煤气，汽油，麻醉气，气\nv. 加汽油，空谈
gasbag	n. 气囊，气球
gaseous	adj. 过热的，气态的
gash	n. 划开\nv. 砍伤\nadj. 有见识的，多余的
gasholder	n. 储气器，煤气柜
gasify	v. 使气化，气化
gasoline	n. 汽油
gasp	n. 喘息，喘气\nv. 喘气，切望
gastric	adj. 胃部的，胃的
gastronomy	n. 美食学，烹饪学
gate	n. 大门，门票收入，路\nv. 给...装门，用门控制
gateway	n. 门框，门楼
gather	v. 聚集，收集，采集，积聚
gathering	n. 集会，聚集
gaudy	n. 年宴\nadj. 艳丽的
gauge	n. 规格，计量表，标准量度，测量仪器\nv. 估计，量
gaunt	adj. 荒凉的，瘦的
gauze	n. 薄纱，纱布
gay	adj. 快活的，快乐的，欢快的\nadv. 很，卖弄地
gaze	n. 凝视，注视\nv. 盯着看
gazelle	n. 瞪羚
gazette	n. 报，公报\nv. 在公报上宣布...的任命
gazetteer	n. 地名词典，公报作者
gear	n. 齿轮，用品，工具\nv. 啮合，适应
gearbox	n. 齿轮箱
gearlever	n. 变速杆
gelatine	n. 骨胶
geld	v. 阉割
gem	n. 宝石，宝物\nv. 开
gendarme	n. 警察，宪兵
gender	n. 性，种类
gene	n. 基因
genealogy	n. 家系，系谱
general	n. 将军，上将\nadj. 一般的，总的，笼统的，全体的
generality	n. 一般见解，一般性
generalization	n. 概括
generalize|generalise	v. 总结，归纳，概括出，概括
generally	adv. 通常，大概
generate	v. 产生，发生，生殖，生
generation	n. 世代，一代人，产生，代
generator	n. 发电机，发生器
generosity	n. 慷慨，大方，胸怀宽阔
generous	adj. 慷慨的，丰盛的，大的
genesis	n. 形成
genetic	adj. 创始的，历史上的
genetics	n. 遗传性，遗传学
genial	adj. 欢快的，颏的
genitals	n. 生殖器，外阴部
genius	n. 天份，才华，天才，特征
genocide	n. 种族灭绝
genteel	adj. 时髦的
gentle	adj. 温柔的，温和的，轻柔的
gentleman	n. 绅士，先生，君子
gently	adv. 轻轻地，温柔地，缓慢地，平缓的
gentry	n. 贵族们，中上阶级
gents	n. 男厕
genuine	adj. 真正的，道地的，真诚的，真诚
genus	n. 类，属
geocentric	adj. 地心的
geography	n. 地理学，地形，地理，地貌
geology	n. 地质学，地质情况
geometry	n. 几何学，几何，图形
geophysics	n. 地球物理学
geriatrics	n. 老年医学
germ	n. 萌芽，起源，细菌，微生物，芽孢
german	n. 德语，德国人\nadj. 德国的，德国人的
germany	n. 德国，德意志
germicide	n. 杀菌剂
germinate	v. 形成，发芽
gerund	n. 动名词
gestation	n. 构思，怀孕
gesture	n. 姿势，手势，姿态\nv. 做手势
get	v. 获得，记住，到达，取得
get-together	n. 集会，聚会
getup	n. 服装，式样
ghastly	adj. 极坏的，可怕的\nadv. 可怕地，死人般地
ghetto	n. 聚居区，犹太人区\nv. 将...隔离在聚居区
ghost	n. 鬼魂，幽灵，鬼，灵魂\nv. 代...作文，当捉刀人
giant	n. 巨人，水枪\nadj. 巨大的
gibe	n. 嘲讽\nv. 嘲讽
giddy	v. 头晕\nadj. 轻率的，头晕的
gift	n. 礼品，天赋，礼物，赠送
gifted	adj. 杰出的，有天才的
gigantic	adj. 巨大的，巨人的
giggle	n. 傻笑，一群\nv. 咯咯地笑
gild	v. 给...镀金，装饰
gill	n. 菌褶，鳃\nv. 用刺网捕
gimmick	n. 花招，秘密装置
gin	n. 酒类，罗网\nv. 喝醉，诱捕
ginger	n. 姜，精力
gingerly	adj. 极为谨慎的\nadv. 极为谨慎地
gipsy	n. 吉普赛人
giraffe	n. 长颈鹿，鹿豹座
gird	n. 嘲笑\nv. 给...佩，束
girder	n. 大梁
girdle	n. 紧身褡，腰带\nv. 围绕
girl	n. 少女，姑娘，女孩子，女仆
girlfriend	n. 女伴，情人
girlish	adj. 女孩子的
girth	n. 大小，肚带\nv. 量...的围长，围绕
gist	n. 诉讼根据，主旨
